x1,x2,y
-119.3666687,115,1
-101.1080445,97.77715859,1
-130.2786583,106.767654,1
-114.7034152,101.1954767,1
-119.3666687,115,1
-121.3936378,120.0375733,1
-102.5699178,113.840641,1
-118.175619,110.4606786,1
-118.3666687,115,1
-102.7311426,122.923042,1
-126.4304794,110.9972395,1
-112.1058612,106.6779773,1
-117.3666687,115,1
-131.743267,95.02243221,1
-123.7345918,133.6684975,1
-115.3666687,115,1
-100.1873934,123.9829801,1
-132.2558254,97.79989004,1
-100.1327993,107.2298794,1
-109.3666687,108,1
-113.876709,116.7323995,1
-113.9811711,118.2631743,1
-122.1567319,90.47699342,1
-104.3666687,102,1
-97.1350869,90.1640423,1
-108.6451895,100.0256298,1
-90.49481226,114.6179342,1
-102.3666687,100,1
-100.1636958,91.03527394,1
-99.55593938,113.9487383,1
-109.7158778,116.484004,1
-100.3666687,99,1
-108.5365041,104.5513492,1
-113.229246,93.58527653,1
-113.6088035,88.77169867,1
-99.3666687,97,1
,116.138522,1
-93.67672295,102.4377613,1
-113.9488859,98.87911982,1
-97.3666687,94,1
-106.6659993,102.5483631,1
-104.0730035,80.67861838,1
-110.112289,103.4870253,1
-94.3666687,88,1
-99.6275223,,1
-90.34311886,91.33186857,1
-97.35585419,81.51331488,1
-91.3666687,84,1
-100.2538404,82.94448421,1
-103.1297104,67.21389845,1
-90.52921558,67.16184226,1
-90.3666687,81,1
-101.9491504,70.60008629,1
-90.99816521,69.09110225,1
-107.3978492,100.6991472,1
-86.3666687,76,1
-91.16664217,87.74875173,1
-68.75038345,69.79036253,1
-84.38857561,89.77772122,1
-82.3666687,71,1
-67.6812011,68.94105061,1
-67.6148072,67.05440981,1
-99.5082649,88.32236646,1
-81.3666687,68,1
-91.7773029,78.06798598,1
-90.59082008,66.03424896,1
-84.13725004,52.58248264,1
-77.3666687,63,1
-90.36505495,76.3123963,1
-67.86194462,48.42053552,1
-95.83040135,51.9313035,1
-74.3666687,60,1
-63.55239072,60.79238997,1
-80.63193599,41.69075061,1
-72.30067663,59.73003112,1
-72.3666687,58,1
-87.10094535,76.87317481,1
-68.17069384,73.98322702,1
-91.48446984,58.6777438,1
-71.3666687,56,1
-91.06011341,53.47944993,1
-81.71532286,41.57078523,1
-90.83208475,57.74718603,1
-69.3666687,54,1
-86.38607708,36.93101058,1
-73.77469312,65.38123781,1
-69.48014225,39.53137659,1
-67.3666687,51,1
-67.11434761,55.69688323,1
-75.43602173,62.21450451,1
-68.88051916,61.18887014,1
-66.3666687,50,1
-56.6097686,51.85271215,1
-83.67971482,44.78813444,1
-77.17294122,41.80193067,1
-64.3666687,49,1
-68.46065837,62.76098663,1
-62.13246057,50.09461203,1
,36.90540167,1
-62.3666687,46,1
-72.72103124,43.62639439,1
-80.77147176,63.14543083,1
-48.56678107,44.45407848,1
-58.3666687,40,1
-60.63283141,48.70046973,1
-38.97297313,40.81214486,1
-66.81731062,35.58187087,1
-54.3666687,35,1
-37.50167227,18.22149111,1
-61.41527564,33.77096108,1
-68.14944985,38.2387272,1
-47.3666687,29,1
-28.37832983,12.46186625,1
-46.68482159,25.94435193,1
-45.1795952,47.23636469,1
-44.3666687,26,1
-31.06738371,15.72270076,1
-57.38097021,38.2666938,1
-49.85598774,14.62162579,1
-42.3666687,25,1
-61.46814081,38.48987105,1
-30.18968623,43.5583748,1
-28.86084321,16.15061291,1
-41.3666687,22,1
-39.495833,13.2284779,1
-39.73815544,31.62522837,1
-52.65281942,15.19439034,1
-31.3666687,16,1
-33.12619722,7.454142342,1
-23.50847751,2.811700557,1
-19.3480261,24.22037338,1
-13.3666687,3,1
4.560583611,22.87193158,1
1.277490195,22.64029462,1
-0.03558701,-10.88355955,1
-7.366668701,-1,1
4.488127804,-16.84095192,1
-17.24720435,9.040686754,1
12.59932728,3.399059492,1
-3.366668701,-5,1
-2.447495612,-14.36744961,1
3.52496288,8.707448446,1
-20.19159033,-23.61730748,1
1.633331299,-9,1
8.906721533,-13.95283496,1
-11.05923368,-0.90038855,1
-5.301726536,-23.36570557,1
6.633331299,-16,1
17.64227072,-2.76670377,1
26.07682268,-5.193962354,1
10.73363987,-26.62884235,1
11.6333313,-21,1
-4.463048375,-19.77563635,1
28.08770336,-6.567460576,1
22.25502057,-2.284741403,1
14.6333313,-25,1
15.01986467,-34.90774431,1
27.45855862,-9.333210801,1
32.72309846,-38.48608567,1
20.6333313,-31,1
33.42124041,-33.05215468,1
4.163383454,-23.99429239,1
28.1117423,-25.15463521,1
24.6333313,-37,1
21.20565279,-22.6527631,1
31.553658,-38.07792587,1
8.789692956,-51.99880887,1
30.6333313,-44,1
13.21469182,-53.53584083,1
35.497722,-39.36113485,1
43.20927901,-44.65403113,1
35.6333313,-51,1
27.35065744,-49.88857681,1
48.30980602,-58.08536399,1
18.8813018,-61.71953028,1
38.6333313,-55,1
50.77801973,-69.43654428,1
42.94288047,-67.01426214,1
43.3289065,-72.79345663,1
42.6333313,-60,1
60.49541383,-77.7703965,1
54.00374031,-60.14402467,1
24.95997901,-53.76932035,1
46.6333313,-64,1
27.65707416,-80.51931528,1
51.25848178,-82.77738283,1
66.33431702,-62.14015209,1
48.6333313,-66,1
37.55486907,-53.75186048,1
53.44511196,-54.55606073,1
56.33084772,-49.74951814,1
50.6333313,-68,1
52.0504408,-62.42963283,1
50.63356038,-79.806939,1
40.68364918,-63.54836476,1
52.6333313,-70,1
69.30377323,-77.1816432,1
36.49437472,-89.5192965,1
49.23119852,-79.43243203,1
54.6333313,-72,1
67.53803307,-84.6883528,1
44.71812413,-71.30741155,1
71.29055271,-82.54644209,1
59.6333313,-75,1
72.68262725,-82.54020808,1
56.34022404,-60.76028313,1
70.69807589,-55.05498323,1
62.6333313,-77,1
46.79533043,-65.48589548,1
53.14443746,-84.02240352,1
73.99394862,-65.89489052,1
66.6333313,-79,1
81.5500423,-65.10206391,1
46.87288107,-70.20624134,1
84.21805934,-84.48000313,1
69.6333313,-82,1
57.20790888,-65.96516666,1
86.06493421,-90.54174633,1
70.05540181,-89.76791047,1
72.6333313,-83,1
58.1633663,-63.48092837,1
72.38918352,-83.10094344,1
72.57109438,-88.1983977,1
77.6333313,-87,1
93.36397477,-86.72229612,1
80.6013356,-97.97975384,1
63.22282605,-89.59072717,1
82.6333313,-91,1
74.63394097,-71.22053183,1
80.09405415,-87.95215429,1
67.56916852,-81.66114876,1
87.6333313,-95,1
68.25725361,-111.3396373,1
70.89550052,-89.98421079,1
80.8916021,-82.18768176,1
91.6333313,-99,1
84.55782534,-103.3471634,1
110.5950419,-106.2037838,1
93.45940599,-107.9335546,1
94.6333313,-102,1
78.44627038,-92.32407888,1
109.2058844,-96.33383477,1
109.9190091,-114.1432021,1
97.6333313,-104,1
88.91901313,-122.9501076,1
105.1670382,-112.6287105,1
97.09701297,-90.62598736,1
101.6333313,-108,1
107.5800142,-105.164957,1
109.9754218,-126.9991142,1
86.33928758,-123.3148114,1
106.6333313,-112,1
113.7760497,-120.4725919,1
105.9891618,-111.7575069,1
93.08806521,-127.7459384,1
108.6333313,-113,1
123.8755016,-126.8924463,1
90.41037484,-94.0568262,1
121.9430571,-118.4970844,1
111.6333313,-115,1
119.4444841,-130.9400673,1
121.2434609,-114.1404122,1
112.5392518,-120.0804177,1
113.6333313,-117,1
125.5712468,-111.681374,1
103.1350143,-119.8005863,1
97.70364089,-130.4498817,1
115.6333313,-119,1
,-116.385719,1
123.018009,-112.3492433,1
96.30376634,-114.7159461,1
116.6333313,-120,1
97.07086481,-132.6860328,1
131.5131615,-105.9140176,1
127.693552,-107.8320059,1
117.6333313,-121,1
117.9017374,-125.7526849,1
99.82480853,-122.0555513,1
106.1319805,-127.6228951,1
116.6333313,-121,1
123.704661,-116.3554895,1
127.6691125,-111.7067339,1
103.6333313,-113,1
119.8756373,-129.4133553,1
103.1368377,-112.8797312,1
94.42398343,-132.013273,1
86.6333313,-102,1
103.1709412,-117.5522975,1
87.94526801,-97.61836813,1
103.1861701,-92.68804061,1
78.6333313,-98,1
95.10978137,-93.02924537,1
85.50237577,-84.14083452,1
62.53005718,-86.46184862,1
71.6333313,-93,1
85.36021931,-102.0306634,1
60.96236475,-99.65682956,1
61.05778478,-101.0577485,1
61.6333313,-84,1
79.55851363,-68.68105412,1
71.77202691,-79.90567738,1
53.59901608,-89.01244005,1
53.6333313,-79,1
68.05114192,-74.63159422,1
72.49445326,-80.61225575,1
54.20840067,-75.45256146,1
48.6333313,-75,1
64.69300959,-71.39494672,1
30.23951041,-55.7637606,1
57.79492933,-78.21848335,1
35.6333313,-66,1
37.38130212,-46.64809212,1
30.33326039,-81.50245987,1
31.07723367,-68.45639618,1
31.6333313,-61,1
35.48299458,-60.32218388,1
44.82256317,-54.59976371,1
21.53002508,-73.76597646,1
25.6333313,-55,1
38.3053275,-42.6387728,1
31.93052608,-72.61003914,1
37.69282829,-40.38535297,1
16.6333313,-48,1
26.35804301,-38.04105763,1
1.88786583,-36.68715933,1
13.39149096,-66.96293653,1
12.6333313,-43,1
26.17284097,-33.88870915,1
29.3954615,-57.43227471,1
12.45622339,-33.58612221,1
7.633331299,-38,1
26.0235802,-18.85018741,1
-2.98562487,-56.98656516,1
-0.388741576,-19.78657865,1
3.633331299,-34,1
-5.635626362,-18.47315298,1
0.606765579,-34.65254889,1
-6.653299242,-40.55178306,1
0.633331299,-31,1
-4.435809608,-28.97413679,1
-11.10309324,-17.47344327,1
-19.3444253,-26.99428615,1
-5.366668701,-24,1
-0.46739944,-16.01772518,1
-8.08889061,-24.20599929,1
-10.28116371,-11.21454787,1
-11.3666687,-18,1
-26.07345755,-31.25754113,1
3.677465357,-23.91583444,1
-3.117532735,-2.644629403,1
-17.3666687,-13,1
-37.23153756,-13.02757766,1
-20.06759104,-11.38360219,1
-16.33950643,-1.09230184,1
-23.3666687,-6,1
-11.37922924,-12.27062242,1
-10.08539436,-0.170826059,1
-34.92886708,-18.31272001,1
-26.3666687,-3,1
-17.5688555,-22.67032286,1
-40.71602884,-0.203009245,1
-36.8108033,-14.82442766,1
-30.3666687,2,1
-42.86437846,5.418779187,1
-22.67434689,-16.61969291,1
-43.49471114,12.41989585,1
-35.3666687,7,1
-28.73749007,-0.217475203,1
-45.47867156,13.57516288,1
-29.24400949,10.06396231,1
-37.3666687,9,1
-45.19303249,24.42364237,1
-52.35819705,9.279599449,1
-27.14389452,9.042688008,1
-41.3666687,13,1
-36.38991934,25.29617985,1
-58.65471892,10.87834788,1
-53.10142006,9.753031991,1
-44.3666687,15,1
-47.19969979,12.33648081,1
-51.76631641,13.58650742,1
-59.83720602,15.84764743,1
-49.3666687,21,1
-59.8249808,27.77661511,1
-53.10849284,37.63140818,1
-67.6292176,7.040045741,1
-53.3666687,25,1
-73.21442825,22.18997773,1
-61.83928533,26.10847327,1
-44.21195297,19.80430668,1
-61.3666687,34,1
-46.23726587,38.9433235,1
-70.51565712,42.09561379,1
-66.77856518,30.13918658,1
-65.3666687,40,1
-58.33586173,21.03530068,1
-67.49415623,45.92071072,1
-58.99257654,22.10440449,1
-70.3666687,45,1
-73.51692729,43.09744674,1
-54.31932397,49.61333405,1
-57.10310328,25.05400435,1
-75.3666687,50,1
-59.90093357,44.21260081,1
-87.27916288,43.02369388,1
-74.82455,55.05828962,1
-79.3666687,54,1
-76.20594033,60.85141391,1
-91.88987923,49.15113702,1
-77.71043677,50.92085506,1
-81.3666687,57,1
-65.19199245,76.14090211,1
-75.20283394,47.34869338,1
-71.2380192,45.40422672,1
-85.3666687,61,1
-76.86404762,67.24234606,1
-105.2828808,60.81287776,1
-71.08284651,80.48047265,1
-87.3666687,65,1
-86.64638983,55.01555452,1
-75.64100494,68.09463937,1
-81.60780862,81.34589515,1
-90.3666687,69,1
-79.0251486,62.55201552,1
-94.86586568,76.6672632,1
-98.26105276,57.85296277,1
-93.3666687,75,1
-82.958907,80.36207019,1
-82.04805056,56.24828443,1
-111.0020498,84.54004916,1
-97.3666687,80,1
-93.57099474,69.09707511,1
-115.7580816,90.19450543,1
-95.6797339,61.87625761,1
-99.3666687,83,1
-94.18328744,95.84331564,1
-112.7219858,94.87952271,1
-94.19796988,77.82132894,1
-102.3666687,88,1
-84.75476446,92.54039466,1
-96.65633973,75.28565018,1
-106.4262248,102.3459008,1
-105.3666687,90,1
-102.035795,87.28897191,1
-114.7265853,74.06256905,1
-103.0210548,70.34523528,1
-108.3666687,95,1
-105.8105819,88.70878703,1
-125.1727494,102.3277966,1
-126.1355278,106.6232673,1
-110.3666687,98,1
-109.6597881,116.3244011,1
-97.09949428,90.22993001,1
-105.6459216,79.69623007,1
-111.3666687,100,1
-98.17192332,100.4420157,1
-117.8729659,84.22293612,1
